Crop,ScientifiName,CropCode,ECTsat,ECOneOneSand,ECdt,ECm,pHmax,pHb,pHc,pHaltc,SoilPopt,SoilPmax,SoilPb1
alfalfa,Medicago (sativa)/falcata,1,2.0,1.13,7.3,-0.441,7.50,6.80,1.30,2.134,23.0,29.0,521.4
almond,,2,1.5,0.85,19,-0.910, ,6.25,0.75,1.111,19.0,25.0,293.0
apples,Malus sylvestris,3,1.6,0.90,10,-0.500,7.00,6.30,0.70,1.027,19.0,25.0,293.0
apricot,,4,1.6,0.90,24,-1.668, ,6.25,0.75,1.111,19.0,25.0,293.0
asparagus,Asparagus (densiflorus)/officinalis,5,7.1,4.01,10,-0.500,7.00,6.50,0.60,0.863,19.0,25.0,293.0
avocado,Persea americana,6,1.6,0.90,10,-0.500,8.30,6.30,2.00,3.692,19.0,25.0,293.0
banana,Musa X paradisiaca,7,4.4,2.49,10,-0.500,8.30,6.30,2.00,3.692,19.0,25.0,293.0
"barley, malt barley",Hordeum vulgare L.,8,6.0,3.39,7.1,-0.437,7.00,6.25,0.75,1.111,19.0,25.0,293.0
"beans, dried",Phaseolus vulgaris L.,9,1.0,0.56,19,-0.910,6.50,6.15,1.50,2.550,20.0,26.0,343.2
"beet, red",,10,4.0,2.26,9,-0.476,,,,,,,
"bermuda grass, coastal",Cynodon dactylon,11,6.9,3.90,6.4,-0.424,8.30,6.30,2.00,3.692,19.0,25.0,293.0
blackberry,Rubus spp.,12,1.5,0.85,22,-1.251,8.00,6.25,1.75,3.103,19.0,25.0,293.0
blueberries,Vaccinium (corymbosum)/ashei/angustifolium,13,2.0,1.13,10,-0.500,7.00,5.90,1.10,1.742,19.0,25.0,293.0
bluegrass,Poa pratensis,14,9.0,5.08,5.1,-0.402,8.20,6.70,1.50,2.550,,6.0,214.0
"bluestem, big",Andropogon gerardii L. Vitman ,15,1.3,0.73,10,-0.500,7.5,6.50,1.00,1.554,12.0,18.0,70.5
"bluestem, little",Schizachyrium scoparium (Michx.) L. Nash ,16,1.3,0.73,10,-0.500,7.5,6.50,1.00,1.554,12.0,18.0,70.5
boysenberry,,17,1.5,0.85,22,-1.251,,,,,,,
broccoli,Brassica oleracea,18,2.8,1.58,9.2,-0.481,7.00,6.30,0.70,1.027,19.0,25.0,293.0
buckwheat,Fagopyrum (tataricum)/esculentum,19,6.0,3.39,10,-0.500,7.50,6.65,0.85,1.284,19.0,25.0,293.0
cabbage,Brassica oleracea var. capitata,20,1.8,1.02,9.7,-0.493,7.00,6.30,0.70,1.027,19.0,25.0,293.0
cantaloupe,Cucumis melo,21,3.0,1.69,10,-0.500,6.75,6.10,0.65,0.944,19,25.0,293.0
carrot,Daucus carota,22,1.0,0.56,14,-0.625,7.00,6.30,0.70,1.027,19,25.0,293.0
cauliflower,Brassica oleracea var.botrytis,23,2.5,1.41,10,-0.500,7.00,6.30,0.70,1.027,19,25.0,293.0
celery,,24,1.8,1.02,6.2,-0.420,,,,,,,
cherries,,25,1.5,0.85,10,-0.500,8.00,6.00,2.00,3.692,19,25.0,293.0
"clover, berseem",Trifolium alexandrium,26,1.5,0.85,5.7,-0.412,,6.50,1.00,1.554,19,25.0,293.0
"clover, red, alsike, ladino, strawberry",Trifolium  pratense L.,27,1.5,0.85,12,-0.556,7.20,6.50,0.70,1.027,20,26.0,343.2
"clover, white",Trifolium repens,28,2.3,1.30,19,-0.910,7.00,6.25,0.75,1.111,22,28.0,457.4
coffee,Coffea (arabica)/bengalensis/canephora/congensis/liberica,29,2.0,1.13,10,-0.500,8.00,6.15,1.85,3.334,19,25.0,293.0
"corn, sweet",Zea mays,30,1.7,0.96,12,-0.556,8.30,6.30,2.00,3.692,16,22.0,170.0
"corn, pop",Zea mays,31,1.7,0.96,12,-0.556,,,,0.000,,,
"corn, grain",Zea mays,32,1.8,1.02,7.4,-0.443,,6.30,2.00,3.692,19,25.0,293.0
cotton,Gossypium (anomalum)/arboreum/barbadense/herbaceum/hirsutum,33,7.7,4.35,5.2,-0.403,8.40,6.35,2.05,3.814,19,25.0,293.0
cowpea,Vigna unguiculata L.,34,4.9,2.77,12,-0.556,,5.50,1.00,1.554,19,25.0,293.0
cranberries,Vaccinium macrocarpon,35,2.0,1.13,10,-0.500,7.50,6.00,1.50,2.550,19,25.0,293.0
cucumber,curbita pepo,36,2.5,1.41,13,-0.589,,6.50,1.00,1.554,19,25.0,293.0
date,Date palm,37,4.0,2.26,3.6,-0.379,,6.00,2.00,3.692,19.00,25.0,293.0
fava or broad bean,Vicia faba,38,1.6,0.90,9.6,-0.490,,,,,,,
"fescue, tall",Festuca spp.,39,3.9,2.20,5.3,-0.405,,6.65,1.85,3.334,12.00,18.0,70.5
